user,Class 2_challenge,Class 2_effort,Class 2_grade,Class 2_days
u00,1.6666666666666667,2.0,3.3333333333333335,25 days
u01,1.0,1.0,2.0,5 days
u02,1.0,1.0,1.0,1 days
u03,3.3333333333333335,2.3333333333333335,1.0,10 days
u04,1.0,1.5,2.5,5 days
u07,2.0,1.0,1.0,1 days
u08,1.75,1.375,1.0,28 days
u10,1.3333333333333333,1.3333333333333333,1.0,1 days
u12,1.0,1.0,5.0,1 days
u14,1.0,1.0,1.0,1 days
u16,1.4,1.8,2.2,10 days
u17,1.0,1.0,1.5,7 days
u18,1.0,1.0,1.0,1 days
u19,2.0,1.6,1.0,17 days
u22,3.0,2.0,1.0,1 days
u32,2.0,1.5,1.0,5 days
u33,1.0,1.0,2.0,1 days
u35,2.0,1.0,1.0,1 days
u36,1.3333333333333333,1.0,1.0,5 days
u39,1.0,1.0,1.0,1 days
u42,1.6666666666666667,1.6666666666666667,3.0,5 days
u43,1.0,1.5,1.0,2 days
u44,2.0,1.0,1.0,11 days
u46,1.5,1.0,1.0,5 days
u47,2.5,1.5,1.0,7 days
u49,1.5555555555555556,1.2222222222222223,1.0,27 days
u51,6.0,3.5,1.0,1 days
u53,1.0,1.0,4.0,6 days
u54,3.0,3.0,1.0,1 days
u56,1.0,1.0,1.0,6 days
u57,1.75,1.5,1.25,10 days
u58,3.4285714285714284,1.0,1.0,15 days
u59,1.5714285714285714,1.2857142857142858,1.0,34 days
