user,Class_due,Class_experience,Class_hours,Class_days,Class_null,Class_course_id
u00,1.5416666666666667,2.375,4.333333333333333,34 days,0,0
u01,1.4,3.0,1.8285714285714285,22 days,0,0
u02,1.3478260869565217,1.6521739130434783,3.391304347826087,48 days,0.2608695652173913,0
u03,1.1538461538461537,1.0769230769230769,4.846153846153846,25 days,0,0
u04,1.5384615384615385,1.3846153846153846,2.769230769230769,31 days,0,0
u05,0.9090909090909091,1.0,0.5454545454545454,6 days,0,0
u07,1.5333333333333334,2.3333333333333335,2.9,31 days,0,0
u08,1.62,1.56,2.34,61 days,0,0
u09,0.625,0.875,1.0,6 days,0,0
u10,1.619047619047619,2.119047619047619,3.238095238095238,31 days,0,0
u12,1.2142857142857142,1.7857142857142858,1.8571428571428572,24 days,0,0
u13,0.0,0.0,0.0,0 days,"43.70480167,-72.28843789ggvvvvv1vcc",0
u14,1.3214285714285714,1.3571428571428572,2.9642857142857144,25 days,0,0
u15,1.3703703703703705,0.8148148148148148,1.7777777777777777,27 days,0,0
u16,1.4242424242424243,2.090909090909091,4.242424242424242,58 days,0,0
u17,1.5135135135135136,2.2162162162162162,6.162162162162162,36 days,0,0
u18,1.4,1.8333333333333333,1.9,31 days,0,0
u19,1.5068493150684932,2.1780821917808217,4.424657534246576,68 days,0,0
u20,1.1538461538461537,1.3076923076923077,2.3846153846153846,19 days,0,0
u22,1.59375,1.90625,1.90625,40 days,0,0
u23,0.8095238095238095,2.0,2.3333333333333335,25 days,0.5238095238095238,0
u24,1.2,1.8,1.4666666666666666,27 days,0,0
u25,1.3043478260869565,2.0869565217391304,1.3478260869565217,23 days,0,0
u27,1.1666666666666667,1.2916666666666667,2.25,27 days,0,0
u30,1.5862068965517242,2.310344827586207,2.1379310344827585,40 days,0,0
u31,1.2307692307692308,1.5384615384615385,2.923076923076923,19 days,0,0
u32,1.5303030303030303,2.212121212121212,2.9242424242424243,59 days,0,0
u33,1.5,2.25,3.1818181818181817,67 days,0,0
u34,0.75,0.875,0.75,11 days,0,0
u35,1.2777777777777777,1.4444444444444444,3.3333333333333335,44 days,0,0
u36,1.36,1.44,6.24,32 days,0,0
u39,1.0769230769230769,0.7692307692307693,0.7692307692307693,33 days,0,0
u41,1.1666666666666667,1.0,1.1666666666666667,27 days,0,0
u42,0.8333333333333334,1.2777777777777777,0.6666666666666666,26 days,0,0
u43,1.5897435897435896,2.358974358974359,3.1538461538461537,39 days,0,0
u44,1.5142857142857142,2.0,3.914285714285714,41 days,0,0
u45,0.9090909090909091,1.0,2.090909090909091,20 days,0,0
u46,1.2105263157894737,1.894736842105263,2.5789473684210527,25 days,0,0
u47,0.7777777777777778,0.6666666666666666,2.6666666666666665,21 days,0,0
u49,1.2096774193548387,2.193548387096774,3.274193548387097,61 days,0,0
u50,1.2105263157894737,1.2105263157894737,5.684210526315789,23 days,0.3157894736842105,0
u51,1.3636363636363635,0.7727272727272727,1.5,32 days,0,0
u52,1.56,2.6,2.2,34 days,0,0
u53,1.5,1.8181818181818181,2.090909090909091,60 days,0,0
u54,1.0,1.7692307692307692,1.8461538461538463,31 days,0,0
u56,1.2307692307692308,0.6153846153846154,0.6153846153846154,27 days,0,0
u57,44.0,73.0,93.0,27 days,0,cs60CS60cs98cs65cs65cs60CS98cs65cs60cs65cs60cs65cs65cs65cs98cs60cs65cs65cs60cs98cs60cs65cs60cs60cs65
u58,29.0,52.0,52.0,63 days,0,cs19pcs65cs65cs65cs65cs65cs65cs65cs65cs65cs65cs65cs65cs 65cs 65cs65cs65cs65cs65cs65cs65cs65
u59,156.0,253.0,292.0,57 days,0,CS7CS65Linguistics 11CS 65CS 65German 1German 1German 1 DrillCS 7German 1CS 65German 1 DrillGerman 1German 1German 1 Drillsexpertscs7German 1 DrillGerman 1German 1 DrillCS 65CS 7German 1German 1CS65CS 65SexpertsSexpertsGerman 1 DrillGerman 1German 1 DrillGerman 1 DrillCS 65German 1SexpertsGerman 1 DrillGerman 1Germ�n 1German 1 DrillGerman 1Germ�n 1 DrillComputer Science 7SexpertsGerman 1CS 7CS 65German 1German 1 DrillGerman 1German 1German 1DrillSexpertsGerman 1 Drill German 1CS 7SexpertsCS 65German 1German 1 DrillGerman 1CS 65German 1 DrillGerman 1SexpertsGerman 1CS 65German 1 DrillSexpertsCS 7German 1German 1CS 7German 1 DrillGerman 1 DrillCS 65German 1 DrillGerman 1CS 7CS 65German 1 DrillSexpertsCS 7German 1 DrillGerman 1CS 7German 1CS 7German 1 DrillGerman 1SexpertsGerman 1 DrillSexpertsGerman 1 DrillSexpertsGerman 1German 1 DrillGerman 1CS 7German 1 DrillGerman 1CS 65Sexperts
