user,Events_negative,Events_nevent,Events_pevent,Events_positive,Events_days
u00,78,Boston bombarguingDartmouth has a problemno classestired argumentcolloq talkthat fucking rotatillernothing,"spent good time my sonrundinnerno lecture
no lectures
Cornell West's lecture on the inner you family dinnertrainruncycling
squash winwill might buy it
concert",63,43 days
u01,7,,,1,1 days
u02,5,puppy went home,cute puppy,5,1 days
u03,9,graded hwnothing,lab3nothingcan't remember,11,8 days
u04,17,losing a race. realizing mediocrity. one more arena in which my capacity falls short of acceptable. I sucklosing race a friend was annoyed by me,being told that everything em would be OKfiguring out researchfinishing my lab,12,6 days
u07,11,Negative: mit shooting Controversy ,Networks labFinishing lab3,10,5 days
u08,57,argument (assuming this is suppose to be negative)argumentlab strugglesargumentcs 89 code breakingnothing muchstruggling with iPhone appdoing cs labnm,code workingbasketballcalligraphy practice code worksnothing really nothing muchfinish workfinish cs labnmfinish lab,47,19 days
u10,26,f90 on the labcs65 labdiscovered bug in crawlernone,birrhdaysuccessful crawler functiondinnerfixed bug in crawlerbuilt crawlerfinished lab,28,35 days
u12,7,turning in late hw,going to bed,1,1 days
u14,3,nothing,meetings,10,7 days
u16,64,horrible peopleworkbeing tiredstill not donehomeworkbug in codehomeworkbad teachingbeing sickhomeworkshirking my workhomeworkanxietydoing workworkworkCS65,another jobprospiesdinner and a movieparts of the lab were successfulworking codelab finishedhomemade dinnernothinghanging out with friendshiking in the woodsfamily visiting watching a movie with friendsrelaxingmeeting an old friendoff- campus dinnernothingnothing,80,42 days
u17,59,-----...,-----...,31,34 days
u18,11,,,11,16 days
u19,101,awkward social hangoutworking all nightlost some postersunreliable group membersseg faults everywherelosing to Middleburylab3 grade...frustrating lablonely soulcs50general lonelinessbeing ignoredpuppy Poxnothing worksterrible 65 meetingnothing workswaiting for imagesservice isn't working...that all nighter finishing 65bugs on bugs on bugs4am til 7am,"frisbeewinning sectionalsgreat presentationcool Frisbee catchfinishing myrunsfinished crawler!!""playing Frisbee with my teammatesfinishing indexeralpha theta formalunderstanding fftcrawler worksstar trek!!!talking to my sisterfrisbeeeeuhhh dunnopuppy pox looks betterfixed a buglevel 3 solvedFrisbee banquetpain train in the quarter finals!!!magical server and group members",126,41 days
u22,13,,,10,28 days
u23,2,,,2,9 days
u27,22,?,djs meeting,11,13 days
u30,4,,lunch with friends,5,1 days
u32,19,Boston shootingsankle pain Celtics losehaving trouble with cs65 labclass,IFC bbqpong tourney victory spring singfinishing cs65  labharbor,24,6 days
u33,26,6 hour examMyRuns4failed a midtermnot finishing papertaking my final,dimensions showsolving the error in my codehonestly couldn't think of onegospel choirband practicefinishing appfinishing my final,37,45 days
u34,4,,lol,4,1 days
u35,5,,,11,9 days
u36,24,paper deadlineplottaskcoachworkpaper,papertripBostonfoodexercisehotpot,34,32 days
u42,9,quarrel with friendsquarrel with friendbbsnonenone,play games do hw studyplayingplaying,30,25 days
u43,40,going home to Maine skyping with gfbeing homegetting homeseeing gfclasses canceledno mini golflab assignment not working properly,plans for weekendskyping with gfbeing homegoing homeseeing gfclasses canceledno classestalking with gf,42,8 days
u44,13,she is late for 3 hours,joggingFriday beerRihanna concert,21,19 days
u45,5,homework,dinner,3,1 days
u46,8,,,8,9 days
u47,19,interviewofferdirty,soccereatlabreview,22,36 days
u49,10,nothinghomework issuesfought with gf,green key celebrationacceptance into a programcompleted hw,15,4 days
u50,1,,,4,1 days
u51,10,na,na,10,34 days
u52,9,living,living,10,7 days
u53,37,late to class debugging myrunslong dayallnighter,100% on projectfinding an apartment for the summerfriend's birthday dinnerdinnerfigured out thesis advisorgood lunch shopping,32,32 days
u54,6,Protest Math homework ,Get togetherCarnival,7,15 days
u56,20,"if you meant negative event, finding out I did something wrong at workrelationship talknagot my winter heating billnot finishing assignment",drinks with friendssexdinner with friendfrisbee,25,11 days
u58,118,chatdriving meeting coding meeting quarreling coding meeting coding meeting coding helping codemeeting meeting coding coding presentation gaming ,chatdating gaming dating chatting chatting dating meeting eating meeting dating dating dating dating dating dating dating bowling ,102,43 days
u59,50,dimensionsmeetingsmeetingsdimensions protestnot finishing my homework completelystupid all nightergot an a- on a testthe jawbone doesn't work and the lab made me do an all nighterI didn't get enough sleepI didn't get much work doneI need to code the graphing of the datasome things don't workfell asleep twice on my German finalwas sleep deprived all dayleft my jawbone in new york,dimensionsdimensionsdimensionsseeing my prospies and partyinggetting homework donefinishes my lab and did well on my midtermgoing out at nightI won a jawboneI finished my essayI took a three hour napthe notifications work perfectlyour app is going wellfinished with freshman yearfinished with both comp sci coursescame back home,81,45 days
