user,Green Key 1_meaning,Green Key 1_days
u00,a nice break from the grinnedparty fun and happiness. ,4 days
u08,relaxing,1 days
u16,a weekend of partying and musictime to do more workworking,5 days
u17,madness and thesisabsolute madness,3 days
u19,alumnidrunk people everywheresun,4 days
u24,party,1 days
u32,nice weather and no work ,1 days
u33,loneliness go away,3 days
u36,no ideanothing,2 days
u47,I don't know.,1 days
u49,partieshaving funcelebration,3 days
u51,nothing,1 days
u53,undergrads drinking,1 days
u56,partying,1 days
u57,A weekend of fun and debauchery,1 days
u58,nothing nothing ,1 days
u59,catching up on homework,1 days
