user,Lab_duration,Lab_enjoy,Lab_days
u00,6.0,2.8181818181818183,30 days
u01,4.5,1.5,8 days
u02,10.0,3.0,1 days
u03,3.0,4.0,5 days
u04,6.25,2.5,18 days
u07,6.0,2.0,1 days
u08,3.9166666666666665,3.8333333333333335,17 days
u10,6.666666666666667,2.0,9 days
u12,4.0,3.0,1 days
u14,7.0,2.25,16 days
u16,8.833333333333334,2.1666666666666665,25 days
u17,11.0,2.857142857142857,22 days
u19,6.2,2.3,25 days
u22,1.2,1.6,18 days
u24,4.0,3.0,4 days
u25,11.0,5.0,1 days
u27,4.0,3.0,1 days
u30,8.0,2.0,1 days
u32,6.666666666666667,2.6666666666666665,28 days
u33,7.25,3.25,24 days
u34,4.0,4.0,1 days
u35,2.75,4.25,14 days
u36,1.0,2.1666666666666665,20 days
u42,3.0,3.3333333333333335,1 days
u43,7.5,2.0,9 days
u44,5.833333333333333,2.1666666666666665,21 days
u45,5.333333333333333,1.0,1 days
u46,6.0,3.5,7 days
u47,5.0,4.0,1 days
u49,9.666666666666666,2.3333333333333335,24 days
u50,4.0,2.0,1 days
u51,2.0,2.6666666666666665,21 days
u52,1.0,3.0,1 days
u53,5.666666666666667,2.6666666666666665,14 days
u54,5.0,3.0,1 days
u57,7.333333333333333,2.0,9 days
u58,1.625,1.25,25 days
u59,9.25,2.75,36 days
